code,category,value,areaName
E08000025,ABBangladeshi,48232,Birmingham
E08000025,ABChinese,12487,Birmingham
E08000025,ABIndian,66519,Birmingham
E08000025,ABPakistani,195102,Birmingham
E08000025,ABAsian,33044,Birmingham
E08000025,BBAfrican,66822,Birmingham
E08000025,BBCaribbean,44718,Birmingham
E08000025,BBBlack,14220,Birmingham
E08000025,whiteAndAsian,13130,Birmingham
E08000025,whiteAndBlackAfrican,4680,Birmingham
E08000025,whiteAndBlackCaribbean,25119,Birmingham
E08000025,wBritish,491211,Birmingham
E08000025,wIrish,16964,Birmingham
E07000077,ABBangladeshi,170,Uttlesford
E07000077,ABChinese,273,Uttlesford
E07000077,ABIndian,572,Uttlesford
E07000077,ABPakistani,128,Uttlesford
E07000077,ABAsian,579,Uttlesford
E07000077,BBAfrican,377,Uttlesford
E07000077,BBCaribbean,207,Uttlesford
E07000077,BBBlack,125,Uttlesford
E07000077,whiteAndAsian,731,Uttlesford
E07000077,whiteAndBlackAfrican,262,Uttlesford
E07000077,whiteAndBlackCaribbean,498,Uttlesford
E07000077,wBritish,81245,Uttlesford
E07000077,wIrish,844,Uttlesford
