healthDa
LTLAC,GHCG,generalHealth,Observation
E06000001,-8,Does not apply,0
E06000001,1,Very good health,42.8
E06000001,2,Good health,33.7
E06000001,3,Fair health,15.6
E06000001,4,Bad health,6
E06000001,5,Very bad health,1.9
E06000002,-8,Does not apply,0
E06000002,1,Very good health,43.8
E06000002,2,Good health,33.3
E06000002,3,Fair health,14.9
E06000002,4,Bad health,6.1
E06000002,5,Very bad health,1.9
E06000003,-8,Does not apply,0
E06000003,1,Very good health,44.1
E06000003,2,Good health,34
E06000003,3,Fair health,14.9
E06000003,4,Bad health,5.4
E06000003,5,Very bad health,1.7
E06000004,-8,Does not apply,0
E06000004,1,Very good health,45.7
E06000004,2,Good health,33.7
E06000004,3,Fair health,14.2
E06000004,4,Bad health,4.9
E06000004,5,Very bad health,1.5
E06000005,-8,Does not apply,0
E06000005,1,Very good health,45.5
E06000005,2,Good health,34.8
E06000005,3,Fair health,14
E06000005,4,Bad health,4.5
E06000005,5,Very bad health,1.2
E06000006,-8,Does not apply,0
E06000006,1,Very good health,45.2
E06000006,2,Good health,32.5
E06000006,3,Fair health,14.4
E06000006,4,Bad health,6
E06000006,5,Very bad health,1.9
E06000007,-8,Does not apply,0
E06000007,1,Very good health,50
E06000007,2,Good health,32.8
E06000007,3,Fair health,12.2
E06000007,4,Bad health,3.9
E06000007,5,Very bad health,1.1
E06000008,-8,Does not apply,0
E06000008,1,Very good health,43.6
E06000008,2,Good health,33.5
E06000008,3,Fair health,15.2
E06000008,4,Bad health,5.9
E06000008,5,Very bad health,1.9
E06000009,-8,Does not apply,0
E06000009,1,Very good health,40.9
E06000009,2,Good health,33.7
E06000009,3,Fair health,16.6
E06000009,4,Bad health,6.7
E06000009,5,Very bad health,2.1
E06000010,-8,Does not apply,0
E06000010,1,Very good health,40.3
E06000010,2,Good health,35.5
E06000010,3,Fair health,16.5
E06000010,4,Bad health,5.9
E06000010,5,Very bad health,1.8
E06000011,-8,Does not apply,0
E06000011,1,Very good health,48.4
E06000011,2,Good health,34.5
E06000011,3,Fair health,12.5
E06000011,4,Bad health,3.5
E06000011,5,Very bad health,1.1
E06000012,-8,Does not apply,0
E06000012,1,Very good health,43.1
E06000012,2,Good health,35.4
E06000012,3,Fair health,15.2
E06000012,4,Bad health,4.9
E06000012,5,Very bad health,1.4
E06000013,-8,Does not apply,0
E06000013,1,Very good health,43.9
E06000013,2,Good health,35.9
E06000013,3,Fair health,14.5
E06000013,4,Bad health,4.5
E06000013,5,Very bad health,1.2
E06000014,-8,Does not apply,0
E06000014,1,Very good health,48.5
E06000014,2,Good health,35
E06000014,3,Fair health,12.2
E06000014,4,Bad health,3.4
E06000014,5,Very bad health,0.9
E06000015,-8,Does not apply,0
E06000015,1,Very good health,43.2
E06000015,2,Good health,35.5
E06000015,3,Fair health,14.9
E06000015,4,Bad health,4.9
E06000015,5,Very bad health,1.5
E06000016,-8,Does not apply,0
E06000016,1,Very good health,42.8
E06000016,2,Good health,34.7
E06000016,3,Fair health,15.6
E06000016,4,Bad health,5.2
E06000016,5,Very bad health,1.6
E06000017,-8,Does not apply,0
E06000017,1,Very good health,52.6
E06000017,2,Good health,33.6
E06000017,3,Fair health,10.7
E06000017,4,Bad health,2.6
E06000017,5,Very bad health,0.6
E06000018,-8,Does not apply,0
E06000018,1,Very good health,41.7
E06000018,2,Good health,34.2
E06000018,3,Fair health,16.1
E06000018,4,Bad health,6
E06000018,5,Very bad health,2
E06000019,-8,Does not apply,0
E06000019,1,Very good health,48.7
E06000019,2,Good health,34.3
E06000019,3,Fair health,12.3
E06000019,4,Bad health,3.6
E06000019,5,Very bad health,1
E06000020,-8,Does not apply,0
E06000020,1,Very good health,44.2
E06000020,2,Good health,34.7
E06000020,3,Fair health,14.6
