code,category,value,areaName
E08000025,1,40972,Birmingham
E08000025,2,93314,Birmingham
E08000025,3,50205,Birmingham
E08000025,4,41168,Birmingham
E08000025,5,36872,Birmingham
E08000025,6,45362,Birmingham
E08000025,7,36475,Birmingham
E08000025,8,38618,Birmingham
E08000025,9,59431,Birmingham
E07000077,1,8868,Uttlesford
E07000077,2,9467,Uttlesford
E07000077,3,7026,Uttlesford
E07000077,4,4584,Uttlesford
E07000077,5,4670,Uttlesford
E07000077,6,3478,Uttlesford
E07000077,7,2525,Uttlesford
E07000077,8,2101,Uttlesford
E07000077,9,3024,Uttlesford
